"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",34.9999999999973
"75",34.9999999999973
"76",34.9999999999973
"77",34.9999999999973
"78",32.4999999999993
"79",56.0000000000735
"80",20
"81",52.0833333332705
"82",51
"83",47.0666666666686
"84",27
"85",29
"86",42
"87",42
"88",26
"89",26
"90",47
"91",45.7500000000116
"92",48
"93",48
"94",48
"95",36
"96",51.6666666666662
"97",51.6666666666662
"98",51.6666666666662
"99",51.6666666666662
"100",51.6666666666662
"101",51.6666666666662
"102",51.6666666666662
"103",51.6666666666662
"104",51.6666666666662
"105",51.6666666666662
"106",51.6666666666662
"107",51.6666666666662
"108",51.6666666666662
"109",51.6666666666662
"110",51.6666666666662
"111",50
"112",50
"113",50
"114",50
"115",50
"116",50
"117",50
"118",50
"119",50
"120",50
"121",50
"122",50
"123",35.5
"124",50
"125",50
"126",50
"127",50
"128",50
"129",50
"130",37
"131",37
"132",37
"133",37
"134",37
"135",37
"136",37
"137",37
"138",37
"139",37
"140",37
"141",37
"142",50
"143",50
"144",50
"145",50
"146",50
"147",50
"148",50
"149",50
"150",50
"151",50
"152",50
"153",50
"154",50
"155",50
"156",50
"157",50
"158",50
"159",50
"160",36.4999999999966
"161",37
"162",74
"163",42
"164",35.0833333333334
"165",30
"166",54
"167",30
"168",50
"169",51.499999999998
"170",21
"171",47
"172",47
"173",47
"174",47
"175",79.9999999999829
"176",35
"177",39
"178",39.4166666666639
"179",50.8333333333989
"180",80
"181",80
"182",30
"183",29
"184",31.3499999999615
"185",36.5000000000153
"186",36.5000000000153
"187",35
"188",35
"189",35
"190",44.250000000001
"191",44.250000000001
"192",44.250000000001
"193",44.250000000001
"194",34
"195",34
"196",71
"197",71
"198",71
"199",21
"200",47
"201",46.0000000000068
"202",44.249999999995
"203",71
"204",71
"205",42
"206",72.6666666666689
"207",42.916666666667
"208",31
"209",22
"210",50
"211",54
"212",30
"213",79
"214",79
"215",79
"216",32.1333333333358
"217",32.1333333333358
"218",32.1333333333358
"219",34.5000000000033
"220",13.1666666666695
"221",13.1666666666695
"222",71.5000000000026
"223",71.5000000000026
"224",71.5000000000026
"225",71.5000000000026
"226",71.5000000000026
"227",71.5000000000026
"228",71.5000000000026
"229",71.5000000000026
"230",71.5000000000026
"231",39.9999999999841
"232",42
"233",48
"234",42
"235",32
"236",22
"237",71
"238",77
"239",77
"240",77
"241",31
"242",35.6961280000012
"243",22.755733333324
"244",42
"245",32
"246",38.9597013333319
"247",23.5227733333384
"248",38
"249",33.1039999999981
"250",45
"251",98
"252",51
"253",47
"254",63.9529599999786
"255",35.4761600000059
"256",98
"257",46
"258",11.6065279999981
"259",33
"260",47
"261",49
"262",64.0037333332424
"263",40.4670399999986
"264",76
"265",44.2934933333114
"266",28.3875946666679
"267",44
"268",28.337130666672
"269",43.2733333333331
"270",43
"271",50.8888835556048
"272",50.8888835556048
"273",28
"274",28
"275",44
"276",28.7589333333455
"277",31
"278",22
"279",36.4499999999997
"280",47
"281",22
"282",21
"283",48
"284",37
"285",37
"286",37
"287",37
"288",37
"289",37
"290",37
"291",37
"292",37
"293",37
"294",37
"295",37
"296",37
"297",37
"298",37
"299",37
"300",47
"301",47
"302",48
"303",50
"304",21
"305",24.4333333333307
"306",21.9700000000002
"307",35.4
"308",31
"309",31
"310",31
"311",35
"312",35
"313",30.9
"314",30.9
"315",30.9
"316",35.9166666666639
"317",39.1100000000001
"318",28.0733333333354
"319",47
"320",31
"321",44
"322",47
"323",43.9966666666666
"324",47
"325",44
"326",33
"327",NA
"328",22
"329",22
"330",22
"331",22
"332",26.8853333333401
"333",14
"334",33.5384640000075
"335",27.7279999999996
"336",44
"337",80
"338",49
"339",27
"340",35
"341",71
"342",20
"343",71
"344",44
"345",31
"346",31.1683751813279
"347",48
"348",37.2499897999631
"349",35
"350",22
"351",22
"352",41
"353",21
"354",40.6472640000006
"355",NA
"356",28.5279999999907
"357",30
"358",26
"359",22.9166666666601
"360",22
"361",41
"362",41
"363",41
"364",41
"365",44
"366",47
"367",44
"368",44.0000000000033
"369",36.5066666666668
"370",NA
"371",44
"372",22
"373",30
"374",23.3166666666721
"375",35.9056000000155
"376",47
"377",47
"378",28
"379",48
"380",43
"381",38
"382",22
"383",59.4039999999217
"384",37
"385",47
"386",42
"387",35.5360000000032
"388",26.6079999999866
"389",33.0666731999905
"390",33.0666731999905
"391",33.0666731999905
"392",42
"393",30.2033066666683
"394",25
"395",29
"396",30
"397",29
"398",74
"399",41.3000000000109
"400",41.3000000000109
"401",41.3000000000109
"402",41.3000000000109
"403",41.3000000000109
"404",41.3000000000109
"405",41.3000000000109
"406",41.3000000000109
"407",41.3000000000109
"408",41.3000000000109
"409",41.3000000000109
"410",41.3000000000109
"411",41.3000000000109
"412",41.3000000000109
"413",41.3000000000109
"414",41.3000000000109
"415",41.3000000000109
"416",41.3000000000109
"417",41.3000000000109
"418",41.3000000000109
"419",41.3000000000109
"420",41.3000000000109
"421",41.3000000000109
"422",41.3000000000109
"423",41.3000000000109
"424",41.3000000000109
"425",41.3000000000109
"426",41.3000000000109
"427",41.3000000000109
"428",41.3000000000109
"429",41.3000000000109
"430",41.3000000000109
"431",41.3000000000109
"432",41.3000000000109
"433",41.3000000000109
"434",41.3000000000109
"435",41.3000000000109
"436",41.3000000000109
"437",41.3000000000109
"438",41.3000000000109
"439",41.3000000000109
"440",41.3000000000109
"441",41.3000000000109
"442",41.3000000000109
"443",41.3000000000109
"444",41.3000000000109
"445",89
"446",36.8700000000103
"447",36.8700000000103
"448",36.8700000000103
"449",36.8700000000103
"450",36.8700000000103
"451",36.8700000000103
"452",28
"453",28
"454",28
"455",28
"456",28
"457",28
"458",28
"459",28
"460",28
"461",28
"462",36.4842986666615
"463",23
"464",39.1093333333224
"465",38.5142293333353
"466",35
"467",37.6430399999997
"468",34.5302399999851
"469",70.0976000000086
"470",80
"471",16.285200000012
"472",31.7133333333341
"473",72.6391039999962
"474",22
"475",NA
"476",22
"477",11
"478",26
"479",25.9599999999986
"480",NA
"481",NA
"482",NA
"483",NA
"484",30
"485",47.4166666666664
"486",47.4166666666664
"487",47.4166666666664
"488",47.4166666666664
"489",47.4166666666664
"490",33
"491",51
"492",57.2499999999828
"493",57.2499999999828
"494",26
"495",44
"496",22.1666666666711
"497",21
"498",21
"499",61.0833333333316
"500",28
"501",80
"502",80
"503",13
"504",76
"505",30
"506",77
"507",67.7500000000586
"508",47
"509",25
"510",25
"511",47
"512",25
"513",25
"514",25
"515",25
"516",25
"517",25
"518",25
"519",25
"520",25
"521",25
"522",25
"523",25
"524",29.7499999999713
"525",32.9166666666137
"526",32.9166666666137
"527",32.9166666666137
"528",32.9166666666137
"529",42
"530",36
"531",36
"532",34
"533",34
"534",34
"535",34
"536",34
"537",15
"538",26.9166666666427
"539",28
"540",53
"541",33
"542",33
"543",14
"544",74
"545",11
"546",35
"547",35
"548",65.75
"549",24
"550",24
"551",26
"552",54
"553",25
"554",28
"555",27
"556",39.7500059999949
"557",39.7500059999949
"558",40.3499999999965
"559",30
"560",53
"561",13
"562",22
"563",22
"564",29
"565",13
"566",80
"567",22
"568",37
"569",31.0159999999999
"570",45.2428640000072
"571",35
"572",48
"573",56.5818666667034
"574",39.8426666666628
"575",NA
"576",44
"577",28
"578",42
"579",39
"580",47
"581",76
"582",40
"583",48.8799999999923
"584",48.8799999999923
"585",79
"586",79
"587",32
"588",32
"589",28.5399999999894
"590",28.5399999999894
"591",43
"592",43
"593",43
"594",30
"595",30
"596",30
"597",67.4333333333288
"598",67.4333333333288
"599",67.4333333333288
"600",67.4333333333288
"601",67.4333333333288
"602",67.4333333333288
"603",51
"604",44
"605",32
"606",21
"607",20.8720000000037
"608",17.6592000000067
"609",30.6320000000031
"610",40
"611",74
"612",41.9933333333285
"613",17
"614",33
"615",29
"616",30.1790933333363
"617",48
"618",51
"619",30
"620",14.2094560000137
"621",40
"622",15
"623",15
"624",15
"625",15
"626",NA
"627",15
"628",29
"629",43
"630",37.0600000000072
"631",29.7466666666624
"632",47
"633",47
"634",11.9
"635",44.0999999999993
"636",47
"637",42.41
"638",32
"639",47
"640",35.099999999998
"641",29
"642",33
"643",21
"644",33
"645",25
"646",27.93
"647",23
"648",28.7000000000024
"649",28.1999999999966
"650",22
"651",22
"652",22
"653",22
"654",22
"655",22
"656",22
"657",22
"658",22
"659",22
"660",22
"661",22
"662",22
"663",22
"664",22
"665",22
"666",22
"667",22
"668",22
"669",22
"670",22
"671",22
"672",22
"673",22
"674",22
"675",22
"676",22
"677",22
"678",22
"679",22
"680",22
"681",22
"682",22
"683",22
"684",28.3233333333332
"685",28.05
"686",42
"687",22
"688",46.7120000000004
"689",29
"690",33.2725120000094
"691",44
"692",48
"693",21.4191360000022
"694",45
"695",45
"696",45
"697",39.4254394212305
"698",23
"699",40
"700",33.2499753999967
"701",39
"702",31
"703",34
"704",42
"705",45
"706",87
"707",26
"708",98
"709",44
"710",42.7894399999925
