"","Longitude","Latitude","sradedit","sradedit.1","sradedit.2","sradedit.3","sradedit.4","sradedit.5","sradedit.6","sradedit.7","sradedit.8","sradedit.9","sradedit.10","sradedit.11"
"1",-60,-3,17445.75,18740,18022.25,19726.75,18819.25,21772.5,22679.5,24572,23005.5,20430.75,18963.75,18370.25
"2",-60,-3,17445.75,18740,18022.25,19726.75,18819.25,21772.5,22679.5,24572,23005.5,20430.75,18963.75,18370.25
"3",-60,-3,17445.75,18740,18022.25,19726.75,18819.25,21772.5,22679.5,24572,23005.5,20430.75,18963.75,18370.25
"4",-60,-3,17445.75,18740,18022.25,19726.75,18819.25,21772.5,22679.5,24572,23005.5,20430.75,18963.75,18370.25
"5",-60,-3,17445.75,18740,18022.25,19726.75,18819.25,21772.5,22679.5,24572,23005.5,20430.75,18963.75,18370.25
"6",-60,-3,17445.75,18740,18022.25,19726.75,18819.25,21772.5,22679.5,24572,23005.5,20430.75,18963.75,18370.25
"7",-60,-3,17445.75,18740,18022.25,19726.75,18819.25,21772.5,22679.5,24572,23005.5,20430.75,18963.75,18370.25
"8",-60,-3,17445.75,18740,18022.25,19726.75,18819.25,21772.5,22679.5,24572,23005.5,20430.75,18963.75,18370.25
"9",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"10",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"11",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"12",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"13",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"14",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"15",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"16",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"17",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"18",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"19",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"20",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"21",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"22",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"23",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"24",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"25",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"26",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"27",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"28",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"29",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"30",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"31",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"32",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"33",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"34",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
"35",113.8,4,10928.2500000011,12633.7500000006,14699.7500000001,15573.9999999999,16485.9999999998,19423.9999999996,17535.5000000001,19022.9999999996,18434.5000000001,13082.5,12415.2500000014,10458.0000000005
