"","ppfd"
"367",39.08517532
"368",35.5477173999991
"369",39.98455556
"370",52.5610454000001
"371",35.16114726
"372",35.9257358599996
"373",32.5920542199997
"374",36.9900436399994
"375",34.6432833184005
"376",40.0514723200003
"377",43.1924225799999
"378",33.4736670800006
"379",42.0634428808143
"380",NA
"381",38.19878354376
"382",34.1363177852165
"383",NA
"384",NA
"385",42.3188582136
"386",40.0173620702415
"387",36.7126182518395
"388",35.1603759425269
"389",NA
"390",NA
"391",NA
"392",NA
"393",NA
"394",NA
"395",NA
"396",34.2973008927387
"397",34.8267178564479
"398",36.232582954496
"399",NA
"400",NA
"401",NA
"402",NA
"403",NA
"404",NA
"405",NA
"406",NA
"407",NA
"408",NA
"409",NA
"410",NA
"411",NA
"412",NA
"413",NA
"414",NA
"415",NA
"416",NA
"417",NA
"418",NA
"419",NA
"420",NA
"421",NA
"422",NA
"423",NA
"424",NA
"425",NA
"426",NA
"427",NA
"428",NA
"429",NA
"430",NA
"431",NA
"432",NA
"433",NA
"434",NA
"435",NA
"436",NA
"437",NA
"438",NA
"439",NA
"440",NA
"441",NA
"442",NA
"443",NA
"444",NA
"445",42.3078633615994
"446",NA
"447",NA
"448",NA
"449",NA
"450",NA
"451",NA
"452",NA
"453",NA
"454",NA
"455",NA
"456",NA
"457",NA
"458",NA
"459",NA
"460",NA
"461",NA
"462",43.940700577328
"463",40.3775963743671
"464",34.65225416128
"465",NA
"466",38.7665997938569
"467",37.055194864321
"468",44.7661636646257
"469",NA
"470",33.446839937601
"471",NA
"472",35.2229279936002
"473",NA
"474",34.5606228045443
"475",NA
"476",34.1639342740643
"477",NA
"478",33.8722341994253
"479",NA
"480",NA
"481",NA
"482",NA
"483",NA
"484",35.2270174999999
"485",42.5980050000001
"486",42.5980050000001
"487",42.5980050000001
"488",42.5980050000001
"489",42.5980050000001
"490",NA
"491",NA
"492",NA
"493",NA
"494",NA
"495",34.5248410000006
"496",34.7497136000001
"497",34.4686305000002
"498",34.4496228000009
"499",NA
"500",32.590224
"501",33.4170530000012
"502",33.4170530000012
"503",NA
"504",NA
"505",34.1759415000004
"506",35.7578527000001
"507",35.1469407000003
"508",40.4454768999997
"509",35.1635148249764
"510",35.1635148249764
"511",40.6163863999993
"512",35.2460116000003
"513",35.2460116000003
"514",35.2460116000003
"515",35.2460116000003
"516",35.2460116000003
"517",35.2460116000003
"518",35.2460116000003
"519",35.2460116000003
"520",35.2460116000003
"521",35.2460116000003
"522",35.2460116000003
"523",35.2460116000003
"524",36.1316300000001
"525",37.8813719999957
"526",37.8813719999957
"527",37.8813719999957
"528",37.8813719999957
"529",38.4804248000002
"530",43.7405579999994
"531",43.7405579999994
"532",NA
"533",NA
"534",NA
"535",NA
"536",NA
"537",NA
"538",NA
"539",NA
"540",NA
"541",NA
"542",NA
"543",NA
"544",NA
"545",NA
"546",34.4808790000002
"547",34.4808790000002
"548",36.2963855000002
"549",36.4443365000001
"550",36.4443365000001
"551",33.2593100000017
"552",NA
"553",39.9328487000029
"554",37.0932383999998
"555",35.6627513000001
"556",41.9499487772398
"557",41.9499487772398
"558",42.0276720000001
"559",37.9185764999998
"560",NA
"561",NA
"562",34.0643127000002
"563",33.7429616999997
"564",35.6758123999998
"565",34.7211946698261
"566",35.0659236095999
"567",35.88103038064
"568",NA
"569",NA
"570",34.9098413551049
"571",NA
"572",35.1060254079038
"573",35.3265670699521
"574",35.5202877531198
"575",43.7526622448
"576",40.1722368884488
"577",33.4578477123203
"578",30.7812315491211
"579",37.5630157646085
"580",42.3443676356789
"581",45.4509361599999
"582",31.4998204650242
"583",NA
"584",NA
"585",31.5615930999999
"586",31.5615930999999
"587",36.2743517999987
"588",36.2743517999987
"589",NA
"590",NA
"591",38.3387260600009
"592",38.3387260600009
"593",38.3387260600009
"594",36.6930305199999
"595",36.6930305199999
"596",36.6930305199999
"597",35.8975593799999
"598",35.8975593799999
"599",35.8975593799999
"600",35.8975593799999
"601",35.8975593799999
"602",35.8975593799999
"603",33.4537967363264
"604",38.2275910896001
"605",37.3842106611201
"606",33.6430995177281
