"","leftJoinDf.elevation","leftJoinDf.elevation.1","leftJoinDf.elevation.2","leftJoinDf.elevation.3","leftJoinDf.elevation.4","leftJoinDf.elevation.5","leftJoinDf.elevation.6","leftJoinDf.elevation.7","leftJoinDf.elevation.8","leftJoinDf.elevation.9","leftJoinDf.elevation.10","leftJoinDf.elevation.11"
"252",663,663,663,663,663,663,663,663,663,663,663,663
"253",1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061
"254",199,199,199,199,199,199,199,199,199,199,199,199
"255",370,370,370,370,370,370,370,370,370,370,370,370
"256",76,76,76,76,76,76,76,76,76,76,76,76
"257",205,205,205,205,205,205,205,205,205,205,205,205
"258",877,877,877,877,877,877,877,877,877,877,877,877
"259",370,370,370,370,370,370,370,370,370,370,370,370
"260",941,941,941,941,941,941,941,941,941,941,941,941
"261",74,74,74,74,74,74,74,74,74,74,74,74
"262",689,689,689,689,689,689,689,689,689,689,689,689
"263",842,842,842,842,842,842,842,842,842,842,842,842
"264",8,8,8,8,8,8,8,8,8,8,8,8
"265",394,394,394,394,394,394,394,394,394,394,394,394
"266",816,816,816,816,816,816,816,816,816,816,816,816
"267",752,752,752,752,752,752,752,752,752,752,752,752
"268",700,700,700,700,700,700,700,700,700,700,700,700
"269",73,73,73,73,73,73,73,73,73,73,73,73
"270",941,941,941,941,941,941,941,941,941,941,941,941
"271",262,262,262,262,262,262,262,262,262,262,262,262
"272",262,262,262,262,262,262,262,262,262,262,262,262
"273",2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135
"274",2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135,2135
"275",677,677,677,677,677,677,677,677,677,677,677,677
"276",305,305,305,305,305,305,305,305,305,305,305,305
"277",1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435
"278",445,445,445,445,445,445,445,445,445,445,445,445
"279",14,14,14,14,14,14,14,14,14,14,14,14
"280",2904,2904,2904,2904,2904,2904,2904,2904,2904,2904,2904,2904
"281",804,804,804,804,804,804,804,804,804,804,804,804
"282",1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154,1154
"283",2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432,2432
"284",135,135,135,135,135,135,135,135,135,135,135,135
"285",135,135,135,135,135,135,135,135,135,135,135,135
"286",135,135,135,135,135,135,135,135,135,135,135,135
"287",135,135,135,135,135,135,135,135,135,135,135,135
"288",135,135,135,135,135,135,135,135,135,135,135,135
"289",135,135,135,135,135,135,135,135,135,135,135,135
"290",135,135,135,135,135,135,135,135,135,135,135,135
"291",135,135,135,135,135,135,135,135,135,135,135,135
"292",135,135,135,135,135,135,135,135,135,135,135,135
"293",135,135,135,135,135,135,135,135,135,135,135,135
"294",135,135,135,135,135,135,135,135,135,135,135,135
"295",135,135,135,135,135,135,135,135,135,135,135,135
"296",135,135,135,135,135,135,135,135,135,135,135,135
"297",135,135,135,135,135,135,135,135,135,135,135,135
"298",135,135,135,135,135,135,135,135,135,135,135,135
"299",135,135,135,135,135,135,135,135,135,135,135,135
"300",1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858
"301",1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858
"302",77,77,77,77,77,77,77,77,77,77,77,77
"303",912,912,912,912,912,912,912,912,912,912,912,912
"304",1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038,1038
"305",1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117,1117
"306",1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517
"307",269,269,269,269,269,269,269,269,269,269,269,269
"308",18,18,18,18,18,18,18,18,18,18,18,18
"309",18,18,18,18,18,18,18,18,18,18,18,18
"310",18,18,18,18,18,18,18,18,18,18,18,18
"311",36,36,36,36,36,36,36,36,36,36,36,36
"312",36,36,36,36,36,36,36,36,36,36,36,36
"313",426,426,426,426,426,426,426,426,426,426,426,426
"314",426,426,426,426,426,426,426,426,426,426,426,426
"315",426,426,426,426,426,426,426,426,426,426,426,426
"316",304,304,304,304,304,304,304,304,304,304,304,304
"317",1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131
"318",206,206,206,206,206,206,206,206,206,206,206,206
"319",2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183
"320",1541,1541,1541,1541,1541,1541,1541,1541,1541,1541,1541,1541
"321",664,664,664,664,664,664,664,664,664,664,664,664
"322",2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487,2487
"323",747,747,747,747,747,747,747,747,747,747,747,747
"324",1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993
"325",1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227
"326",245,245,245,245,245,245,245,245,245,245,245,245
"327",675,675,675,675,675,675,675,675,675,675,675,675
"328",287,287,287,287,287,287,287,287,287,287,287,287
"329",287,287,287,287,287,287,287,287,287,287,287,287
"330",287,287,287,287,287,287,287,287,287,287,287,287
"331",499,499,499,499,499,499,499,499,499,499,499,499
