"","leftJoinDf.elevation","leftJoinDf.elevation.1","leftJoinDf.elevation.2","leftJoinDf.elevation.3","leftJoinDf.elevation.4","leftJoinDf.elevation.5","leftJoinDf.elevation.6","leftJoinDf.elevation.7","leftJoinDf.elevation.8","leftJoinDf.elevation.9","leftJoinDf.elevation.10","leftJoinDf.elevation.11"
"1065",950,950,950,950,950,950,950,950,950,950,950,950
"1066",1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344
"1067",1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049
"1068",714,714,714,714,714,714,714,714,714,714,714,714
"1069",33,33,33,33,33,33,33,33,33,33,33,33
"1070",33,33,33,33,33,33,33,33,33,33,33,33
"1071",33,33,33,33,33,33,33,33,33,33,33,33
"1072",33,33,33,33,33,33,33,33,33,33,33,33
"1073",33,33,33,33,33,33,33,33,33,33,33,33
"1074",33,33,33,33,33,33,33,33,33,33,33,33
"1075",33,33,33,33,33,33,33,33,33,33,33,33
"1076",33,33,33,33,33,33,33,33,33,33,33,33
"1077",33,33,33,33,33,33,33,33,33,33,33,33
"1078",33,33,33,33,33,33,33,33,33,33,33,33
"1079",33,33,33,33,33,33,33,33,33,33,33,33
"1080",33,33,33,33,33,33,33,33,33,33,33,33
"1081",33,33,33,33,33,33,33,33,33,33,33,33
"1082",33,33,33,33,33,33,33,33,33,33,33,33
"1083",33,33,33,33,33,33,33,33,33,33,33,33
"1084",33,33,33,33,33,33,33,33,33,33,33,33
"1085",33,33,33,33,33,33,33,33,33,33,33,33
"1086",33,33,33,33,33,33,33,33,33,33,33,33
"1087",33,33,33,33,33,33,33,33,33,33,33,33
"1088",33,33,33,33,33,33,33,33,33,33,33,33
"1089",33,33,33,33,33,33,33,33,33,33,33,33
"1090",33,33,33,33,33,33,33,33,33,33,33,33
"1091",33,33,33,33,33,33,33,33,33,33,33,33
"1092",33,33,33,33,33,33,33,33,33,33,33,33
"1093",33,33,33,33,33,33,33,33,33,33,33,33
"1094",33,33,33,33,33,33,33,33,33,33,33,33
"1095",33,33,33,33,33,33,33,33,33,33,33,33
"1096",33,33,33,33,33,33,33,33,33,33,33,33
"1097",33,33,33,33,33,33,33,33,33,33,33,33
"1098",33,33,33,33,33,33,33,33,33,33,33,33
"1099",33,33,33,33,33,33,33,33,33,33,33,33
"1100",33,33,33,33,33,33,33,33,33,33,33,33
"1101",33,33,33,33,33,33,33,33,33,33,33,33
"1102",33,33,33,33,33,33,33,33,33,33,33,33
"1103",33,33,33,33,33,33,33,33,33,33,33,33
"1104",33,33,33,33,33,33,33,33,33,33,33,33
"1105",33,33,33,33,33,33,33,33,33,33,33,33
"1106",33,33,33,33,33,33,33,33,33,33,33,33
"1107",33,33,33,33,33,33,33,33,33,33,33,33
"1108",33,33,33,33,33,33,33,33,33,33,33,33
"1109",33,33,33,33,33,33,33,33,33,33,33,33
"1110",33,33,33,33,33,33,33,33,33,33,33,33
"1111",33,33,33,33,33,33,33,33,33,33,33,33
"1112",33,33,33,33,33,33,33,33,33,33,33,33
"1113",33,33,33,33,33,33,33,33,33,33,33,33
"1114",33,33,33,33,33,33,33,33,33,33,33,33
"1115",33,33,33,33,33,33,33,33,33,33,33,33
"1116",33,33,33,33,33,33,33,33,33,33,33,33
"1117",33,33,33,33,33,33,33,33,33,33,33,33
"1118",33,33,33,33,33,33,33,33,33,33,33,33
"1119",33,33,33,33,33,33,33,33,33,33,33,33
"1120",33,33,33,33,33,33,33,33,33,33,33,33
"1121",33,33,33,33,33,33,33,33,33,33,33,33
"1122",33,33,33,33,33,33,33,33,33,33,33,33
"1123",33,33,33,33,33,33,33,33,33,33,33,33
"1124",33,33,33,33,33,33,33,33,33,33,33,33
"1125",33,33,33,33,33,33,33,33,33,33,33,33
"1126",33,33,33,33,33,33,33,33,33,33,33,33
"1127",33,33,33,33,33,33,33,33,33,33,33,33
"1128",33,33,33,33,33,33,33,33,33,33,33,33
"1129",33,33,33,33,33,33,33,33,33,33,33,33
"1130",33,33,33,33,33,33,33,33,33,33,33,33
"1131",33,33,33,33,33,33,33,33,33,33,33,33
"1132",33,33,33,33,33,33,33,33,33,33,33,33
"1133",33,33,33,33,33,33,33,33,33,33,33,33
"1134",33,33,33,33,33,33,33,33,33,33,33,33
"1135",33,33,33,33,33,33,33,33,33,33,33,33
"1136",33,33,33,33,33,33,33,33,33,33,33,33
"1137",33,33,33,33,33,33,33,33,33,33,33,33
"1138",33,33,33,33,33,33,33,33,33,33,33,33
"1139",33,33,33,33,33,33,33,33,33,33,33,33
"1140",33,33,33,33,33,33,33,33,33,33,33,33
"1141",33,33,33,33,33,33,33,33,33,33,33,33
"1142",33,33,33,33,33,33,33,33,33,33,33,33
"1143",33,33,33,33,33,33,33,33,33,33,33,33
"1144",33,33,33,33,33,33,33,33,33,33,33,33
"1145",33,33,33,33,33,33,33,33,33,33,33,33
"1146",33,33,33,33,33,33,33,33,33,33,33,33
"1147",33,33,33,33,33,33,33,33,33,33,33,33
"1148",33,33,33,33,33,33,33,33,33,33,33,33
"1149",33,33,33,33,33,33,33,33,33,33,33,33
"1150",33,33,33,33,33,33,33,33,33,33,33,33
"1151",33,33,33,33,33,33,33,33,33,33,33,33
"1152",33,33,33,33,33,33,33,33,33,33,33,33
"1153",33,33,33,33,33,33,33,33,33,33,33,33
"1154",33,33,33,33,33,33,33,33,33,33,33,33
"1155",33,33,33,33,33,33,33,33,33,33,33,33
"1156",33,33,33,33,33,33,33,33,33,33,33,33
"1157",33,33,33,33,33,33,33,33,33,33,33,33
"1158",33,33,33,33,33,33,33,33,33,33,33,33
"1159",33,33,33,33,33,33,33,33,33,33,33,33
"1160",33,33,33,33,33,33,33,33,33,33,33,33
"1161",33,33,33,33,33,33,33,33,33,33,33,33
"1162",33,33,33,33,33,33,33,33,33,33,33,33
"1163",33,33,33,33,33,33,33,33,33,33,33,33
"1164",33,33,33,33,33,33,33,33,33,33,33,33
"1165",33,33,33,33,33,33,33,33,33,33,33,33
"1166",33,33,33,33,33,33,33,33,33,33,33,33
"1167",33,33,33,33,33,33,33,33,33,33,33,33
"1168",33,33,33,33,33,33,33,33,33,33,33,33
"1169",33,33,33,33,33,33,33,33,33,33,33,33
"1170",33,33,33,33,33,33,33,33,33,33,33,33
"1171",33,33,33,33,33,33,33,33,33,33,33,33
"1172",33,33,33,33,33,33,33,33,33,33,33,33
"1173",33,33,33,33,33,33,33,33,33,33,33,33
"1174",33,33,33,33,33,33,33,33,33,33,33,33
"1175",33,33,33,33,33,33,33,33,33,33,33,33
"1176",33,33,33,33,33,33,33,33,33,33,33,33
"1177",33,33,33,33,33,33,33,33,33,33,33,33
"1178",33,33,33,33,33,33,33,33,33,33,33,33
"1179",33,33,33,33,33,33,33,33,33,33,33,33
"1180",33,33,33,33,33,33,33,33,33,33,33,33
"1181",33,33,33,33,33,33,33,33,33,33,33,33
"1182",33,33,33,33,33,33,33,33,33,33,33,33
"1183",33,33,33,33,33,33,33,33,33,33,33,33
"1184",33,33,33,33,33,33,33,33,33,33,33,33
"1185",33,33,33,33,33,33,33,33,33,33,33,33
"1186",33,33,33,33,33,33,33,33,33,33,33,33
"1187",33,33,33,33,33,33,33,33,33,33,33,33
"1188",33,33,33,33,33,33,33,33,33,33,33,33
"1189",33,33,33,33,33,33,33,33,33,33,33,33
"1190",33,33,33,33,33,33,33,33,33,33,33,33
"1191",33,33,33,33,33,33,33,33,33,33,33,33
"1192",33,33,33,33,33,33,33,33,33,33,33,33
"1193",33,33,33,33,33,33,33,33,33,33,33,33
"1194",33,33,33,33,33,33,33,33,33,33,33,33
"1195",33,33,33,33,33,33,33,33,33,33,33,33
"1196",33,33,33,33,33,33,33,33,33,33,33,33
"1197",33,33,33,33,33,33,33,33,33,33,33,33
"1198",33,33,33,33,33,33,33,33,33,33,33,33
"1199",33,33,33,33,33,33,33,33,33,33,33,33
"1200",33,33,33,33,33,33,33,33,33,33,33,33
"1201",33,33,33,33,33,33,33,33,33,33,33,33
"1202",33,33,33,33,33,33,33,33,33,33,33,33
"1203",33,33,33,33,33,33,33,33,33,33,33,33
"1204",33,33,33,33,33,33,33,33,33,33,33,33
"1205",33,33,33,33,33,33,33,33,33,33,33,33
"1206",33,33,33,33,33,33,33,33,33,33,33,33
"1207",33,33,33,33,33,33,33,33,33,33,33,33
"1208",33,33,33,33,33,33,33,33,33,33,33,33
"1209",33,33,33,33,33,33,33,33,33,33,33,33
"1210",33,33,33,33,33,33,33,33,33,33,33,33
"1211",33,33,33,33,33,33,33,33,33,33,33,33
"1212",33,33,33,33,33,33,33,33,33,33,33,33
"1213",33,33,33,33,33,33,33,33,33,33,33,33
"1214",33,33,33,33,33,33,33,33,33,33,33,33
"1215",33,33,33,33,33,33,33,33,33,33,33,33
"1216",33,33,33,33,33,33,33,33,33,33,33,33
"1217",33,33,33,33,33,33,33,33,33,33,33,33
"1218",33,33,33,33,33,33,33,33,33,33,33,33
"1219",33,33,33,33,33,33,33,33,33,33,33,33
"1220",33,33,33,33,33,33,33,33,33,33,33,33
"1221",33,33,33,33,33,33,33,33,33,33,33,33
"1222",33,33,33,33,33,33,33,33,33,33,33,33
"1223",33,33,33,33,33,33,33,33,33,33,33,33
"1224",33,33,33,33,33,33,33,33,33,33,33,33
"1225",33,33,33,33,33,33,33,33,33,33,33,33
"1226",33,33,33,33,33,33,33,33,33,33,33,33
"1227",33,33,33,33,33,33,33,33,33,33,33,33
"1228",33,33,33,33,33,33,33,33,33,33,33,33
"1229",33,33,33,33,33,33,33,33,33,33,33,33
"1230",33,33,33,33,33,33,33,33,33,33,33,33
"1231",33,33,33,33,33,33,33,33,33,33,33,33
"1232",33,33,33,33,33,33,33,33,33,33,33,33
"1233",33,33,33,33,33,33,33,33,33,33,33,33
"1234",33,33,33,33,33,33,33,33,33,33,33,33
"1235",33,33,33,33,33,33,33,33,33,33,33,33
"1236",33,33,33,33,33,33,33,33,33,33,33,33
"1237",33,33,33,33,33,33,33,33,33,33,33,33
"1238",33,33,33,33,33,33,33,33,33,33,33,33
"1239",33,33,33,33,33,33,33,33,33,33,33,33
"1240",33,33,33,33,33,33,33,33,33,33,33,33
"1241",33,33,33,33,33,33,33,33,33,33,33,33
"1242",33,33,33,33,33,33,33,33,33,33,33,33
"1243",33,33,33,33,33,33,33,33,33,33,33,33
"1244",33,33,33,33,33,33,33,33,33,33,33,33
"1245",33,33,33,33,33,33,33,33,33,33,33,33
"1246",33,33,33,33,33,33,33,33,33,33,33,33
"1247",33,33,33,33,33,33,33,33,33,33,33,33
"1248",33,33,33,33,33,33,33,33,33,33,33,33
"1249",33,33,33,33,33,33,33,33,33,33,33,33
"1250",33,33,33,33,33,33,33,33,33,33,33,33
"1251",33,33,33,33,33,33,33,33,33,33,33,33
"1252",33,33,33,33,33,33,33,33,33,33,33,33
"1253",33,33,33,33,33,33,33,33,33,33,33,33
"1254",33,33,33,33,33,33,33,33,33,33,33,33
"1255",33,33,33,33,33,33,33,33,33,33,33,33
"1256",33,33,33,33,33,33,33,33,33,33,33,33
"1257",33,33,33,33,33,33,33,33,33,33,33,33
"1258",33,33,33,33,33,33,33,33,33,33,33,33
"1259",33,33,33,33,33,33,33,33,33,33,33,33
"1260",33,33,33,33,33,33,33,33,33,33,33,33
"1261",33,33,33,33,33,33,33,33,33,33,33,33
"1262",33,33,33,33,33,33,33,33,33,33,33,33
"1263",33,33,33,33,33,33,33,33,33,33,33,33
"1264",33,33,33,33,33,33,33,33,33,33,33,33
"1265",33,33,33,33,33,33,33,33,33,33,33,33
"1266",33,33,33,33,33,33,33,33,33,33,33,33
"1267",33,33,33,33,33,33,33,33,33,33,33,33
"1268",33,33,33,33,33,33,33,33,33,33,33,33
"1269",33,33,33,33,33,33,33,33,33,33,33,33
"1270",33,33,33,33,33,33,33,33,33,33,33,33
"1271",33,33,33,33,33,33,33,33,33,33,33,33
"1272",33,33,33,33,33,33,33,33,33,33,33,33
"1273",33,33,33,33,33,33,33,33,33,33,33,33
"1274",33,33,33,33,33,33,33,33,33,33,33,33
"1275",33,33,33,33,33,33,33,33,33,33,33,33
"1276",33,33,33,33,33,33,33,33,33,33,33,33
"1277",33,33,33,33,33,33,33,33,33,33,33,33
"1278",33,33,33,33,33,33,33,33,33,33,33,33
"1279",33,33,33,33,33,33,33,33,33,33,33,33
"1280",33,33,33,33,33,33,33,33,33,33,33,33
"1281",33,33,33,33,33,33,33,33,33,33,33,33
"1282",33,33,33,33,33,33,33,33,33,33,33,33
"1283",33,33,33,33,33,33,33,33,33,33,33,33
"1284",33,33,33,33,33,33,33,33,33,33,33,33
"1285",33,33,33,33,33,33,33,33,33,33,33,33
"1286",33,33,33,33,33,33,33,33,33,33,33,33
"1287",33,33,33,33,33,33,33,33,33,33,33,33
"1288",33,33,33,33,33,33,33,33,33,33,33,33
"1289",33,33,33,33,33,33,33,33,33,33,33,33
"1290",33,33,33,33,33,33,33,33,33,33,33,33
"1291",33,33,33,33,33,33,33,33,33,33,33,33
"1292",33,33,33,33,33,33,33,33,33,33,33,33
"1293",33,33,33,33,33,33,33,33,33,33,33,33
"1294",33,33,33,33,33,33,33,33,33,33,33,33
"1295",33,33,33,33,33,33,33,33,33,33,33,33
"1296",33,33,33,33,33,33,33,33,33,33,33,33
"1297",33,33,33,33,33,33,33,33,33,33,33,33
"1298",33,33,33,33,33,33,33,33,33,33,33,33
"1299",33,33,33,33,33,33,33,33,33,33,33,33
"1300",33,33,33,33,33,33,33,33,33,33,33,33
"1301",33,33,33,33,33,33,33,33,33,33,33,33
"1302",33,33,33,33,33,33,33,33,33,33,33,33
"1303",33,33,33,33,33,33,33,33,33,33,33,33
"1304",33,33,33,33,33,33,33,33,33,33,33,33
"1305",33,33,33,33,33,33,33,33,33,33,33,33
"1306",33,33,33,33,33,33,33,33,33,33,33,33
"1307",33,33,33,33,33,33,33,33,33,33,33,33
"1308",33,33,33,33,33,33,33,33,33,33,33,33
"1309",33,33,33,33,33,33,33,33,33,33,33,33
"1310",33,33,33,33,33,33,33,33,33,33,33,33
"1311",33,33,33,33,33,33,33,33,33,33,33,33
"1312",33,33,33,33,33,33,33,33,33,33,33,33
"1313",33,33,33,33,33,33,33,33,33,33,33,33
"1314",33,33,33,33,33,33,33,33,33,33,33,33
"1315",33,33,33,33,33,33,33,33,33,33,33,33
"1316",33,33,33,33,33,33,33,33,33,33,33,33
"1317",33,33,33,33,33,33,33,33,33,33,33,33
"1318",33,33,33,33,33,33,33,33,33,33,33,33
"1319",33,33,33,33,33,33,33,33,33,33,33,33
"1320",33,33,33,33,33,33,33,33,33,33,33,33
"1321",33,33,33,33,33,33,33,33,33,33,33,33
"1322",33,33,33,33,33,33,33,33,33,33,33,33
"1323",33,33,33,33,33,33,33,33,33,33,33,33
"1324",33,33,33,33,33,33,33,33,33,33,33,33
"1325",33,33,33,33,33,33,33,33,33,33,33,33
"1326",33,33,33,33,33,33,33,33,33,33,33,33
"1327",33,33,33,33,33,33,33,33,33,33,33,33
"1328",33,33,33,33,33,33,33,33,33,33,33,33
"1329",33,33,33,33,33,33,33,33,33,33,33,33
"1330",33,33,33,33,33,33,33,33,33,33,33,33
"1331",33,33,33,33,33,33,33,33,33,33,33,33
"1332",33,33,33,33,33,33,33,33,33,33,33,33
"1333",33,33,33,33,33,33,33,33,33,33,33,33
"1334",33,33,33,33,33,33,33,33,33,33,33,33
"1335",33,33,33,33,33,33,33,33,33,33,33,33
"1336",33,33,33,33,33,33,33,33,33,33,33,33
"1337",33,33,33,33,33,33,33,33,33,33,33,33
"1338",33,33,33,33,33,33,33,33,33,33,33,33
"1339",33,33,33,33,33,33,33,33,33,33,33,33
"1340",33,33,33,33,33,33,33,33,33,33,33,33
"1341",33,33,33,33,33,33,33,33,33,33,33,33
"1342",33,33,33,33,33,33,33,33,33,33,33,33
"1343",33,33,33,33,33,33,33,33,33,33,33,33
"1344",33,33,33,33,33,33,33,33,33,33,33,33
"1345",33,33,33,33,33,33,33,33,33,33,33,33
"1346",33,33,33,33,33,33,33,33,33,33,33,33
"1347",33,33,33,33,33,33,33,33,33,33,33,33
"1348",33,33,33,33,33,33,33,33,33,33,33,33
"1349",33,33,33,33,33,33,33,33,33,33,33,33
"1350",33,33,33,33,33,33,33,33,33,33,33,33
"1351",33,33,33,33,33,33,33,33,33,33,33,33
"1352",33,33,33,33,33,33,33,33,33,33,33,33
"1353",33,33,33,33,33,33,33,33,33,33,33,33
"1354",33,33,33,33,33,33,33,33,33,33,33,33
"1355",33,33,33,33,33,33,33,33,33,33,33,33
"1356",33,33,33,33,33,33,33,33,33,33,33,33
"1357",33,33,33,33,33,33,33,33,33,33,33,33
"1358",33,33,33,33,33,33,33,33,33,33,33,33
"1359",33,33,33,33,33,33,33,33,33,33,33,33
"1360",33,33,33,33,33,33,33,33,33,33,33,33
"1361",33,33,33,33,33,33,33,33,33,33,33,33
"1362",33,33,33,33,33,33,33,33,33,33,33,33
"1363",33,33,33,33,33,33,33,33,33,33,33,33
"1364",33,33,33,33,33,33,33,33,33,33,33,33
"1365",33,33,33,33,33,33,33,33,33,33,33,33
"1366",33,33,33,33,33,33,33,33,33,33,33,33
"1367",33,33,33,33,33,33,33,33,33,33,33,33
"1368",33,33,33,33,33,33,33,33,33,33,33,33
"1369",33,33,33,33,33,33,33,33,33,33,33,33
"1370",33,33,33,33,33,33,33,33,33,33,33,33
"1371",33,33,33,33,33,33,33,33,33,33,33,33
"1372",33,33,33,33,33,33,33,33,33,33,33,33
"1373",33,33,33,33,33,33,33,33,33,33,33,33
"1374",33,33,33,33,33,33,33,33,33,33,33,33
"1375",33,33,33,33,33,33,33,33,33,33,33,33
"1376",33,33,33,33,33,33,33,33,33,33,33,33
"1377",33,33,33,33,33,33,33,33,33,33,33,33
"1378",33,33,33,33,33,33,33,33,33,33,33,33
"1379",33,33,33,33,33,33,33,33,33,33,33,33
"1380",33,33,33,33,33,33,33,33,33,33,33,33
"1381",33,33,33,33,33,33,33,33,33,33,33,33
"1382",33,33,33,33,33,33,33,33,33,33,33,33
"1383",33,33,33,33,33,33,33,33,33,33,33,33
"1384",33,33,33,33,33,33,33,33,33,33,33,33
"1385",33,33,33,33,33,33,33,33,33,33,33,33
"1386",33,33,33,33,33,33,33,33,33,33,33,33
"1387",33,33,33,33,33,33,33,33,33,33,33,33
"1388",33,33,33,33,33,33,33,33,33,33,33,33
"1389",33,33,33,33,33,33,33,33,33,33,33,33
"1390",33,33,33,33,33,33,33,33,33,33,33,33
"1391",33,33,33,33,33,33,33,33,33,33,33,33
"1392",33,33,33,33,33,33,33,33,33,33,33,33
"1393",33,33,33,33,33,33,33,33,33,33,33,33
"1394",33,33,33,33,33,33,33,33,33,33,33,33
"1395",33,33,33,33,33,33,33,33,33,33,33,33
"1396",33,33,33,33,33,33,33,33,33,33,33,33
"1397",33,33,33,33,33,33,33,33,33,33,33,33
"1398",33,33,33,33,33,33,33,33,33,33,33,33
"1399",33,33,33,33,33,33,33,33,33,33,33,33
"1400",33,33,33,33,33,33,33,33,33,33,33,33
"1401",33,33,33,33,33,33,33,33,33,33,33,33
"1402",33,33,33,33,33,33,33,33,33,33,33,33
"1403",33,33,33,33,33,33,33,33,33,33,33,33
"1404",33,33,33,33,33,33,33,33,33,33,33,33
"1405",33,33,33,33,33,33,33,33,33,33,33,33
"1406",33,33,33,33,33,33,33,33,33,33,33,33
"1407",33,33,33,33,33,33,33,33,33,33,33,33
"1408",33,33,33,33,33,33,33,33,33,33,33,33
"1409",33,33,33,33,33,33,33,33,33,33,33,33
"1410",33,33,33,33,33,33,33,33,33,33,33,33
"1411",33,33,33,33,33,33,33,33,33,33,33,33
"1412",33,33,33,33,33,33,33,33,33,33,33,33
"1413",33,33,33,33,33,33,33,33,33,33,33,33
"1414",33,33,33,33,33,33,33,33,33,33,33,33
"1415",33,33,33,33,33,33,33,33,33,33,33,33
"1416",33,33,33,33,33,33,33,33,33,33,33,33
"1417",33,33,33,33,33,33,33,33,33,33,33,33
"1418",33,33,33,33,33,33,33,33,33,33,33,33
"1419",33,33,33,33,33,33,33,33,33,33,33,33
"1420",33,33,33,33,33,33,33,33,33,33,33,33
"1421",33,33,33,33,33,33,33,33,33,33,33,33
"1422",33,33,33,33,33,33,33,33,33,33,33,33
"1423",33,33,33,33,33,33,33,33,33,33,33,33
"1424",33,33,33,33,33,33,33,33,33,33,33,33
"1425",33,33,33,33,33,33,33,33,33,33,33,33
"1426",33,33,33,33,33,33,33,33,33,33,33,33
"1427",33,33,33,33,33,33,33,33,33,33,33,33
"1428",33,33,33,33,33,33,33,33,33,33,33,33
"1429",33,33,33,33,33,33,33,33,33,33,33,33
"1430",33,33,33,33,33,33,33,33,33,33,33,33
"1431",33,33,33,33,33,33,33,33,33,33,33,33
"1432",33,33,33,33,33,33,33,33,33,33,33,33
"1433",33,33,33,33,33,33,33,33,33,33,33,33
"1434",33,33,33,33,33,33,33,33,33,33,33,33
"1435",33,33,33,33,33,33,33,33,33,33,33,33
"1436",33,33,33,33,33,33,33,33,33,33,33,33
"1437",33,33,33,33,33,33,33,33,33,33,33,33
"1438",33,33,33,33,33,33,33,33,33,33,33,33
"1439",33,33,33,33,33,33,33,33,33,33,33,33
"1440",33,33,33,33,33,33,33,33,33,33,33,33
"1441",33,33,33,33,33,33,33,33,33,33,33,33
"1442",33,33,33,33,33,33,33,33,33,33,33,33
"1443",33,33,33,33,33,33,33,33,33,33,33,33
"1444",33,33,33,33,33,33,33,33,33,33,33,33
"1445",33,33,33,33,33,33,33,33,33,33,33,33
"1446",33,33,33,33,33,33,33,33,33,33,33,33
"1447",33,33,33,33,33,33,33,33,33,33,33,33
"1448",33,33,33,33,33,33,33,33,33,33,33,33
"1449",33,33,33,33,33,33,33,33,33,33,33,33
"1450",33,33,33,33,33,33,33,33,33,33,33,33
"1451",33,33,33,33,33,33,33,33,33,33,33,33
"1452",33,33,33,33,33,33,33,33,33,33,33,33
"1453",33,33,33,33,33,33,33,33,33,33,33,33
"1454",33,33,33,33,33,33,33,33,33,33,33,33
"1455",33,33,33,33,33,33,33,33,33,33,33,33
"1456",33,33,33,33,33,33,33,33,33,33,33,33
"1457",33,33,33,33,33,33,33,33,33,33,33,33
"1458",33,33,33,33,33,33,33,33,33,33,33,33
"1459",33,33,33,33,33,33,33,33,33,33,33,33
"1460",33,33,33,33,33,33,33,33,33,33,33,33
"1461",33,33,33,33,33,33,33,33,33,33,33,33
"1462",33,33,33,33,33,33,33,33,33,33,33,33
"1463",33,33,33,33,33,33,33,33,33,33,33,33
"1464",33,33,33,33,33,33,33,33,33,33,33,33
"1465",33,33,33,33,33,33,33,33,33,33,33,33
"1466",33,33,33,33,33,33,33,33,33,33,33,33
"1467",33,33,33,33,33,33,33,33,33,33,33,33
"1468",33,33,33,33,33,33,33,33,33,33,33,33
"1469",33,33,33,33,33,33,33,33,33,33,33,33
"1470",33,33,33,33,33,33,33,33,33,33,33,33
"1471",33,33,33,33,33,33,33,33,33,33,33,33
"1472",33,33,33,33,33,33,33,33,33,33,33,33
"1473",33,33,33,33,33,33,33,33,33,33,33,33
"1474",33,33,33,33,33,33,33,33,33,33,33,33
"1475",33,33,33,33,33,33,33,33,33,33,33,33
"1476",33,33,33,33,33,33,33,33,33,33,33,33
"1477",33,33,33,33,33,33,33,33,33,33,33,33
"1478",33,33,33,33,33,33,33,33,33,33,33,33
"1479",33,33,33,33,33,33,33,33,33,33,33,33
"1480",33,33,33,33,33,33,33,33,33,33,33,33
"1481",33,33,33,33,33,33,33,33,33,33,33,33
"1482",33,33,33,33,33,33,33,33,33,33,33,33
"1483",33,33,33,33,33,33,33,33,33,33,33,33
"1484",33,33,33,33,33,33,33,33,33,33,33,33
"1485",33,33,33,33,33,33,33,33,33,33,33,33
"1486",33,33,33,33,33,33,33,33,33,33,33,33
"1487",33,33,33,33,33,33,33,33,33,33,33,33
"1488",33,33,33,33,33,33,33,33,33,33,33,33
"1489",33,33,33,33,33,33,33,33,33,33,33,33
"1490",33,33,33,33,33,33,33,33,33,33,33,33
"1491",33,33,33,33,33,33,33,33,33,33,33,33
"1492",33,33,33,33,33,33,33,33,33,33,33,33
"1493",33,33,33,33,33,33,33,33,33,33,33,33
"1494",33,33,33,33,33,33,33,33,33,33,33,33
"1495",33,33,33,33,33,33,33,33,33,33,33,33
"1496",33,33,33,33,33,33,33,33,33,33,33,33
"1497",33,33,33,33,33,33,33,33,33,33,33,33
"1498",33,33,33,33,33,33,33,33,33,33,33,33
"1499",33,33,33,33,33,33,33,33,33,33,33,33
"1500",33,33,33,33,33,33,33,33,33,33,33,33
"1501",33,33,33,33,33,33,33,33,33,33,33,33
"1502",33,33,33,33,33,33,33,33,33,33,33,33
"1503",33,33,33,33,33,33,33,33,33,33,33,33
"1504",33,33,33,33,33,33,33,33,33,33,33,33
"1505",33,33,33,33,33,33,33,33,33,33,33,33
"1506",33,33,33,33,33,33,33,33,33,33,33,33
"1507",33,33,33,33,33,33,33,33,33,33,33,33
"1508",33,33,33,33,33,33,33,33,33,33,33,33
"1509",33,33,33,33,33,33,33,33,33,33,33,33
"1510",33,33,33,33,33,33,33,33,33,33,33,33
"1511",33,33,33,33,33,33,33,33,33,33,33,33
"1512",33,33,33,33,33,33,33,33,33,33,33,33
"1513",33,33,33,33,33,33,33,33,33,33,33,33
"1514",33,33,33,33,33,33,33,33,33,33,33,33
"1515",33,33,33,33,33,33,33,33,33,33,33,33
"1516",33,33,33,33,33,33,33,33,33,33,33,33
"1517",33,33,33,33,33,33,33,33,33,33,33,33
"1518",33,33,33,33,33,33,33,33,33,33,33,33
"1519",33,33,33,33,33,33,33,33,33,33,33,33
"1520",33,33,33,33,33,33,33,33,33,33,33,33
"1521",33,33,33,33,33,33,33,33,33,33,33,33
"1522",33,33,33,33,33,33,33,33,33,33,33,33
"1523",33,33,33,33,33,33,33,33,33,33,33,33
"1524",33,33,33,33,33,33,33,33,33,33,33,33
"1525",33,33,33,33,33,33,33,33,33,33,33,33
"1526",33,33,33,33,33,33,33,33,33,33,33,33
"1527",33,33,33,33,33,33,33,33,33,33,33,33
"1528",33,33,33,33,33,33,33,33,33,33,33,33
"1529",33,33,33,33,33,33,33,33,33,33,33,33
"1530",33,33,33,33,33,33,33,33,33,33,33,33
"1531",33,33,33,33,33,33,33,33,33,33,33,33
"1532",33,33,33,33,33,33,33,33,33,33,33,33
"1533",33,33,33,33,33,33,33,33,33,33,33,33
"1534",33,33,33,33,33,33,33,33,33,33,33,33
"1535",33,33,33,33,33,33,33,33,33,33,33,33
"1536",33,33,33,33,33,33,33,33,33,33,33,33
"1537",33,33,33,33,33,33,33,33,33,33,33,33
"1538",33,33,33,33,33,33,33,33,33,33,33,33
"1539",33,33,33,33,33,33,33,33,33,33,33,33
"1540",33,33,33,33,33,33,33,33,33,33,33,33
"1541",33,33,33,33,33,33,33,33,33,33,33,33
"1542",33,33,33,33,33,33,33,33,33,33,33,33
"1543",33,33,33,33,33,33,33,33,33,33,33,33
"1544",33,33,33,33,33,33,33,33,33,33,33,33
"1545",33,33,33,33,33,33,33,33,33,33,33,33
"1546",33,33,33,33,33,33,33,33,33,33,33,33
"1547",33,33,33,33,33,33,33,33,33,33,33,33
"1548",33,33,33,33,33,33,33,33,33,33,33,33
"1549",33,33,33,33,33,33,33,33,33,33,33,33
"1550",33,33,33,33,33,33,33,33,33,33,33,33
"1551",33,33,33,33,33,33,33,33,33,33,33,33
"1552",33,33,33,33,33,33,33,33,33,33,33,33
"1553",33,33,33,33,33,33,33,33,33,33,33,33
"1554",33,33,33,33,33,33,33,33,33,33,33,33
"1555",33,33,33,33,33,33,33,33,33,33,33,33
"1556",33,33,33,33,33,33,33,33,33,33,33,33
"1557",33,33,33,33,33,33,33,33,33,33,33,33
