"","Longitude","Latitude","precedit","precedit.1","precedit.2","precedit.3","precedit.4","precedit.5","precedit.6","precedit.7","precedit.8","precedit.9","precedit.10","precedit.11"
"1",-60,-3,306,308,329,278,169.25,59.5,45.25,59,121,161.5,210.75,255.5
"2",-60,-3,306,308,329,278,169.25,59.5,45.25,59,121,161.5,210.75,255.5
"3",-60,-3,306,308,329,278,169.25,59.5,45.25,59,121,161.5,210.75,255.5
"4",-60,-3,306,308,329,278,169.25,59.5,45.25,59,121,161.5,210.75,255.5
"5",-60,-3,306,308,329,278,169.25,59.5,45.25,59,121,161.5,210.75,255.5
"6",-60,-3,306,308,329,278,169.25,59.5,45.25,59,121,161.5,210.75,255.5
"7",-60,-3,306,308,329,278,169.25,59.5,45.25,59,121,161.5,210.75,255.5
"8",-60,-3,306,308,329,278,169.25,59.5,45.25,59,121,161.5,210.75,255.5
"9",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"10",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"11",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"12",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"13",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"14",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"15",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"16",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"17",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"18",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"19",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"20",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"21",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"22",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"23",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"24",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"25",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"26",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"27",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"28",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"29",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"30",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
"31",113.8,4,321.499999999974,304.749999999982,340.249999999979,350.749999999984,346.249999999986,309.249999999987,272.249999999989,329.499999999985,348.499999999985,417.999999999971,444.499999999947,460.499999999945
