"","fapar"
"1",0.481334989890448
"2",0.481334989890448
"3",0.481334989890448
"4",0.481334989890448
"5",0.481334989890448
"6",0.481334989890448
"7",0.481334989890448
"8",0.481334989890448
"9",0.777179242173811
"10",0.777179242173811
"11",0.777179242173811
"12",0.777179242173811
"13",0.777179242173811
"14",0.777179242173811
"15",0.777179242173811
"16",0.777179242173811
"17",0.777179242173811
"18",0.777179242173811
"19",0.777179242173811
"20",0.777179242173811
"21",0.777179242173811
"22",0.777179242173811
"23",0.777179242173811
"24",0.777179242173811
"25",0.777179242173811
"26",0.777179242173811
"27",0.777179242173811
"28",0.777179242173811
"29",0.777179242173811
"30",0.777179242173811
"31",0.777179242173811
"32",0.777179242173811
"33",0.777179242173811
"34",0.777179242173811
"35",0.777179242173811
"36",0.777179242173811
"37",0.777179242173811
"38",0.777179242173811
"39",0.777179242173811
"40",0.777179242173811
"41",0.777179242173811
"42",0.777179242173811
"43",0.777179242173811
"44",0.777179242173811
"45",0.777179242173811
"46",0.777179242173811
"47",0.777179242173811
"48",0.777179242173811
"49",0.777179242173811
"50",0.777179242173811
"51",0.777179242173811
"52",0.777179242173811
"53",0.777179242173811
"54",0.777179242173811
"55",0.777179242173811
"56",0.777179242173811
"57",0.777179242173811
"58",0.777179242173811
"59",0.777179242173811
"60",0.777179242173811
"61",0.777179242173811
"62",0.777179242173811
"63",0.777179242173811
"64",0.777179242173811
"65",0.777179242173811
"66",0.777179242173811
"67",0.777179242173811
"68",0.777179242173811
"69",0.777179242173811
"70",0.777179242173811
"71",0.593995610355309
"72",0.535895685354866
"73",0.558873497943115
"74",0.517148031542704
"75",0.517148031542704
"76",0.517148031542704
"77",0.517148031542704
"78",0.655757152040799
"79",0.176440415407198
"80",0.58018961064521
"81",0.446712608511235
"82",0.313531335815797
"83",0.312917475116734
"84",0.459141676065823
"85",0.618119868263579
"86",0.543229310835427
"87",0.543229310835427
"88",0.239279657012467
"89",0.239279657012467
"90",0.346126416884349
"91",0.668863278751572
"92",0.542964053650694
"93",0.542964053650694
"94",0.542964053650694
"95",0.530589356894291
"96",0.353581340052185
"97",0.353581340052185
"98",0.353581340052185
"99",0.353581340052185
"100",0.353581340052185
"101",0.353581340052185
"102",0.353581340052185
"103",0.353581340052185
"104",0.353581340052185
"105",0.353581340052185
"106",0.353581340052185
"107",0.353581340052185
"108",0.353581340052185
"109",0.353581340052185
"110",0.353581340052185
"111",0.392054741405746
"112",0.392054741405746
"113",0.392054741405746
"114",0.392054741405746
"115",0.392054741405746
"116",0.392054741405746
"117",0.392055206107427
"118",0.392055206107427
"119",0.392055206107427
"120",0.392055206107427
"121",0.392055206107427
"122",0.392055206107427
"123",0.69867950603365
"124",0.443895378460486
"125",0.443895378460486
"126",0.443895378460486
"127",0.443895378460486
"128",0.443895378460486
"129",0.443895378460486
"130",0.675877002651486
"131",0.675877002651486
"132",0.675877002651486
"133",0.675877002651486
"134",0.675877002651486
"135",0.675877002651486
"136",0.675877002651486
"137",0.675877002651486
"138",0.675877002651486
"139",0.675877002651486
"140",0.675877002651486
"141",0.675877002651486
"142",0.39153892253836
"143",0.39153892253836
"144",0.39153892253836
"145",0.39153892253836
"146",0.39153892253836
"147",0.39153892253836
"148",0.39153892253836
"149",0.39153892253836
